provincia,anio,denuncias,victimas,ordenes_proteccion,quebrantamientos,poblacion_total,poblacion_mujeres,renta_media_hogar,renta_media_persona,tasa_actividad_total,tasa_actividad_hombres,tasa_actividad_mujeres,tasa_empleo_total,tasa_empleo_hombres,tasa_empleo_mujeres,tasa_paro_total,tasa_paro_hombres,tasa_paro_mujeres
CASTELLON,2024,1208.0,949.0,417.0,208.0,615188.0,309577.0,,,,,,,,,,,
CEUTA,2024,330.0,330.0,130.0,0.0,83179.0,41222.0,,,,,,,,,,,
CIUDAD REAL,2024,1113.0,1112.0,348.0,64.0,492948.0,248511.0,,,,,,,,,,,
CORDOBA,2024,2481.0,2481.0,393.0,125.0,774313.0,395658.0,,,,,,,,,,,
CUENCA,2024,694.0,680.0,255.0,90.0,199025.0,98660.0,,,,,,,,,,,
GIPUZKOA,2024,1852.0,1804.0,329.0,168.0,729722.0,373424.0,,,,,,,,,,,
GIRONA,2024,2481.0,2281.0,463.0,231.0,821108.0,409761.0,,,,,,,,,,,
GRANADA,2024,4949.0,4756.0,1056.0,333.0,939741.0,477226.0,,,,,,,,,,,
GUADALAJARA,2024,891.0,722.0,192.0,130.0,280225.0,138188.0,,,,,,,,,,,
HUELVA,2024,2512.0,2457.0,566.0,42.0,535734.0,270072.0,,,,,,,,,,,
HUESCA,2024,527.0,487.0,193.0,41.0,228519.0,112527.0,,,,,,,,,,,
ILLES BALEARS,2024,3287.0,2874.0,643.0,185.0,1231768.0,617858.0,,,,,,,,,,,
JAEN,2024,1870.0,1840.0,458.0,251.0,619055.0,312583.0,,,,,,,,,,,
LA RIOJA,2024,1005.0,861.0,181.0,154.0,324184.0,164205.0,,,,,,,,,,,
LAS PALMAS,2024,4980.0,4442.0,595.0,359.0,1159890.0,583826.0,,,,,,,,,,,
LEON,2024,626.0,626.0,141.0,55.0,447802.0,229977.0,,,,,,,,,,,
LLEIDA,2024,1767.0,1730.0,313.0,128.0,451707.0,220654.0,,,,,,,,,,,
LUGO,2024,772.0,762.0,188.0,104.0,325048.0,167333.0,,,,,,,,,,,
MADRID,2024,30361.0,26811.0,5958.0,4292.0,7009268.0,3653105.0,,,,,,,,,,,
MALAGA,2024,11164.0,10072.0,1798.0,1215.0,1774701.0,907561.0,,,,,,,,,,,
